concept,vec_type,layer,coeff,num_sentences,num_trials,accuracy,correct_predictions,total_predictions,chance_level
Dust,avg,2,6.0,10,50,0.994,497,500,0.1
Dust,avg,2,10.0,10,50,0.6,300,500,0.1
Dust,avg,2,14.0,10,50,0.054,27,500,0.1
Dust,avg,2,18.0,10,50,0.026,13,500,0.1
Dust,last,2,6.0,10,50,0.974,487,500,0.1
Dust,last,2,10.0,10,50,0.494,247,500,0.1
Dust,last,2,14.0,10,50,0.502,251,500,0.1
Dust,last,2,18.0,10,50,0.248,124,500,0.1
Dust,last,5,6.0,10,50,0.624,312,500,0.1
Dust,last,5,10.0,10,50,0.642,321,500,0.1
Dust,last,5,14.0,10,50,0.172,86,500,0.1
Dust,last,5,18.0,10,50,0.088,44,500,0.1
Dust,avg,5,6.0,10,50,0.932,466,500,0.1
Dust,avg,5,10.0,10,50,0.834,417,500,0.1
Dust,avg,5,14.0,10,50,0.316,158,500,0.1
Dust,avg,5,18.0,10,50,0.162,81,500,0.1
Dust,last,8,6.0,10,50,0.392,196,500,0.1
Dust,last,8,10.0,10,50,0.426,213,500,0.1
Dust,last,8,14.0,10,50,0.072,36,500,0.1
Dust,last,8,18.0,10,50,0.01,5,500,0.1
Dust,avg,8,6.0,10,50,0.772,386,500,0.1
Dust,avg,8,10.0,10,50,0.362,181,500,0.1
Dust,avg,8,14.0,10,50,0.018,9,500,0.1
Dust,avg,8,18.0,10,50,0.002,1,500,0.1
Dust,last,11,6.0,10,50,0.236,118,500,0.1
Dust,last,11,10.0,10,50,0.278,139,500,0.1
Dust,last,11,14.0,10,50,0.118,59,500,0.1
Dust,last,11,18.0,10,50,0.014,7,500,0.1
Dust,avg,11,6.0,10,50,0.258,129,500,0.1
Dust,avg,11,10.0,10,50,0.016,8,500,0.1
Dust,avg,11,14.0,10,50,0.002,1,500,0.1
Dust,avg,11,18.0,10,50,0.0,0,500,0.1
Dust,avg,14,6.0,10,50,0.052,26,500,0.1
Dust,avg,14,10.0,10,50,0.002,1,500,0.1
Dust,avg,14,14.0,10,50,0.002,1,500,0.1
Dust,avg,14,18.0,10,50,0.004,2,500,0.1
Dust,last,14,6.0,10,50,0.108,54,500,0.1
Dust,last,14,10.0,10,50,0.104,52,500,0.1
Dust,last,14,14.0,10,50,0.07,35,500,0.1
Dust,last,14,18.0,10,50,0.042,21,500,0.1
Illusions,avg,2,6.0,10,50,0.652,326,500,0.1
Illusions,avg,2,10.0,10,50,0.504,252,500,0.1
Illusions,avg,2,14.0,10,50,0.198,99,500,0.1
Illusions,avg,2,18.0,10,50,0.066,33,500,0.1
