concept,vec_type,layer,coeff,num_sentences,num_trials,accuracy,correct_predictions,total_predictions,chance_level
Dust,last,0,2.0,10,50,0.1,50,500,0.1
Dust,last,0,5.0,10,50,0.1,50,500,0.1
Dust,last,0,8.0,10,50,0.1,50,500,0.1
Dust,last,0,11.0,10,50,0.1,50,500,0.1
Dust,last,0,14.0,10,50,0.1,50,500,0.1
Dust,last,0,17.0,10,50,0.1,50,500,0.1
Dust,last,0,20.0,10,50,0.1,50,500,0.1
Dust,avg,0,2.0,10,50,0.982,491,500,0.1
Dust,avg,0,5.0,10,50,0.102,51,500,0.1
Dust,avg,0,8.0,10,50,0.054,27,500,0.1
Dust,avg,0,11.0,10,50,0.016,8,500,0.1
Dust,avg,0,14.0,10,50,0.004,2,500,0.1
Dust,avg,0,17.0,10,50,0.014,7,500,0.1
Dust,avg,0,20.0,10,50,0.016,8,500,0.1
Dust,last,1,2.0,10,50,0.568,284,500,0.1
Dust,last,1,5.0,10,50,0.648,324,500,0.1
Dust,last,1,8.0,10,50,0.508,254,500,0.1
Dust,last,1,11.0,10,50,0.752,376,500,0.1
Dust,last,1,14.0,10,50,0.442,221,500,0.1
Dust,last,1,17.0,10,50,0.446,223,500,0.1
Dust,last,1,20.0,10,50,0.37,185,500,0.1
Dust,avg,1,2.0,10,50,0.664,332,500,0.1
Dust,avg,1,5.0,10,50,0.566,283,500,0.1
Dust,avg,1,8.0,10,50,0.546,273,500,0.1
Dust,avg,1,11.0,10,50,0.546,273,500,0.1
Dust,avg,1,14.0,10,50,0.428,214,500,0.1
Dust,avg,1,17.0,10,50,0.192,96,500,0.1
Dust,avg,1,20.0,10,50,0.166,83,500,0.1
Dust,avg,2,2.0,10,50,0.236,118,500,0.1
Dust,avg,2,5.0,10,50,0.896,448,500,0.1
Dust,avg,2,8.0,10,50,0.936,468,500,0.1
Dust,avg,2,11.0,10,50,0.346,173,500,0.1
Dust,avg,2,14.0,10,50,0.048,24,500,0.1
Dust,avg,2,17.0,10,50,0.028,14,500,0.1
Dust,avg,2,20.0,10,50,0.016,8,500,0.1
Dust,last,2,2.0,10,50,0.212,106,500,0.1
Dust,last,2,5.0,10,50,0.968,484,500,0.1
Dust,last,2,8.0,10,50,0.618,309,500,0.1
Dust,last,2,11.0,10,50,0.494,247,500,0.1
Dust,last,2,14.0,10,50,0.49,245,500,0.1
Dust,last,2,17.0,10,50,0.35,175,500,0.1
Dust,last,2,20.0,10,50,0.058,29,500,0.1
Dust,last,3,2.0,10,50,0.116,58,500,0.1
Dust,last,3,5.0,10,50,0.836,418,500,0.1
Dust,last,3,8.0,10,50,0.624,312,500,0.1
Dust,last,3,11.0,10,50,0.642,321,500,0.1
Dust,last,3,14.0,10,50,0.546,273,500,0.1
Dust,last,3,17.0,10,50,0.384,192,500,0.1
Dust,last,3,20.0,10,50,0.298,149,500,0.1
Dust,avg,3,2.0,10,50,0.186,93,500,0.1
Dust,avg,3,5.0,10,50,0.804,402,500,0.1
Dust,avg,3,8.0,10,50,0.916,458,500,0.1
Dust,avg,3,11.0,10,50,0.228,114,500,0.1
Dust,avg,3,14.0,10,50,0.062,31,500,0.1
Dust,avg,3,17.0,10,50,0.042,21,500,0.1
Dust,avg,3,20.0,10,50,0.07,35,500,0.1
Dust,last,4,2.0,10,50,0.14,70,500,0.1
Dust,last,4,5.0,10,50,0.538,269,500,0.1
Dust,last,4,8.0,10,50,0.816,408,500,0.1
Dust,last,4,11.0,10,50,0.632,316,500,0.1
Dust,last,4,14.0,10,50,0.38,190,500,0.1
Dust,last,4,17.0,10,50,0.168,84,500,0.1
Dust,last,4,20.0,10,50,0.114,57,500,0.1
Dust,avg,4,2.0,10,50,0.216,108,500,0.1
Dust,avg,4,5.0,10,50,0.804,402,500,0.1
Dust,avg,4,8.0,10,50,0.986,493,500,0.1
Dust,avg,4,11.0,10,50,0.446,223,500,0.1
Dust,avg,4,14.0,10,50,0.134,67,500,0.1
Dust,avg,4,17.0,10,50,0.102,51,500,0.1
Dust,avg,4,20.0,10,50,0.12,60,500,0.1
Dust,last,5,2.0,10,50,0.112,56,500,0.1
Dust,last,5,5.0,10,50,0.282,141,500,0.1
Dust,last,5,8.0,10,50,0.748,374,500,0.1
Dust,last,5,11.0,10,50,0.42,210,500,0.1
Dust,last,5,14.0,10,50,0.176,88,500,0.1
Dust,last,5,17.0,10,50,0.098,49,500,0.1
Dust,last,5,20.0,10,50,0.062,31,500,0.1
Dust,avg,5,2.0,10,50,0.208,104,500,0.1
Dust,avg,5,5.0,10,50,0.744,372,500,0.1
Dust,avg,5,8.0,10,50,0.984,492,500,0.1
Dust,avg,5,11.0,10,50,0.632,316,500,0.1
Dust,avg,5,14.0,10,50,0.328,164,500,0.1
Dust,avg,5,17.0,10,50,0.198,99,500,0.1
Dust,avg,5,20.0,10,50,0.086,43,500,0.1
Dust,last,8,2.0,10,50,0.098,49,500,0.1
Dust,last,8,5.0,10,50,0.256,128,500,0.1
Dust,last,8,8.0,10,50,0.616,308,500,0.1
Dust,last,8,11.0,10,50,0.358,179,500,0.1
Dust,last,8,14.0,10,50,0.07,35,500,0.1
Dust,last,8,17.0,10,50,0.016,8,500,0.1
Dust,last,8,20.0,10,50,0.0,0,500,0.1
Dust,avg,8,2.0,10,50,0.19,95,500,0.1
Dust,avg,8,5.0,10,50,0.576,288,500,0.1
Dust,avg,8,8.0,10,50,0.804,402,500,0.1
Dust,avg,8,11.0,10,50,0.134,67,500,0.1
Dust,avg,8,14.0,10,50,0.014,7,500,0.1
Dust,avg,8,17.0,10,50,0.004,2,500,0.1
Dust,avg,8,20.0,10,50,0.002,1,500,0.1
Dust,last,11,2.0,10,50,0.142,71,500,0.1
Dust,last,11,5.0,10,50,0.21,105,500,0.1
Dust,last,11,8.0,10,50,0.312,156,500,0.1
Dust,last,11,11.0,10,50,0.274,137,500,0.1
Dust,last,11,14.0,10,50,0.138,69,500,0.1
Dust,last,11,17.0,10,50,0.012,6,500,0.1
Dust,last,11,20.0,10,50,0.006,3,500,0.1
Dust,avg,11,2.0,10,50,0.158,79,500,0.1
Dust,avg,11,5.0,10,50,0.264,132,500,0.1
Dust,avg,11,8.0,10,50,0.112,56,500,0.1
Dust,avg,11,11.0,10,50,0.008,4,500,0.1
Dust,avg,11,14.0,10,50,0.0,0,500,0.1
Dust,avg,11,17.0,10,50,0.0,0,500,0.1
Dust,avg,11,20.0,10,50,0.0,0,500,0.1
Dust,avg,14,2.0,10,50,0.124,62,500,0.1
Dust,avg,14,5.0,10,50,0.072,36,500,0.1
Dust,avg,14,8.0,10,50,0.03,15,500,0.1
Dust,avg,14,11.0,10,50,0.002,1,500,0.1
Dust,avg,14,14.0,10,50,0.0,0,500,0.1
Dust,avg,14,17.0,10,50,0.002,1,500,0.1
Dust,avg,14,20.0,10,50,0.0,0,500,0.1
Dust,last,14,2.0,10,50,0.106,53,500,0.1
Dust,last,14,5.0,10,50,0.104,52,500,0.1
Dust,last,14,8.0,10,50,0.1,50,500,0.1
Dust,last,14,11.0,10,50,0.104,52,500,0.1
Dust,last,14,14.0,10,50,0.066,33,500,0.1
Dust,last,14,17.0,10,50,0.04,20,500,0.1
Dust,last,14,20.0,10,50,0.024,12,500,0.1
Dust,last,17,2.0,10,50,0.094,47,500,0.1
Dust,last,17,5.0,10,50,0.084,42,500,0.1
Dust,last,17,8.0,10,50,0.064,32,500,0.1
Dust,last,17,11.0,10,50,0.066,33,500,0.1
Dust,last,17,14.0,10,50,0.064,32,500,0.1
Dust,last,17,17.0,10,50,0.038,19,500,0.1
Dust,last,17,20.0,10,50,0.046,23,500,0.1
Dust,avg,17,2.0,10,50,0.1,50,500,0.1
Dust,avg,17,5.0,10,50,0.066,33,500,0.1
Dust,avg,17,8.0,10,50,0.058,29,500,0.1
Dust,avg,17,11.0,10,50,0.034,17,500,0.1
Dust,avg,17,14.0,10,50,0.026,13,500,0.1
Dust,avg,17,17.0,10,50,0.014,7,500,0.1
Dust,avg,17,20.0,10,50,0.014,7,500,0.1
Dust,avg,20,2.0,10,50,0.102,51,500,0.1
Dust,avg,20,5.0,10,50,0.092,46,500,0.1
Dust,avg,20,8.0,10,50,0.07,35,500,0.1
Dust,avg,20,11.0,10,50,0.052,26,500,0.1
Dust,avg,20,14.0,10,50,0.034,17,500,0.1
Dust,avg,20,17.0,10,50,0.024,12,500,0.1
