concept,vec_type,layer,coeff_first,coeff_second,logit_first,logit_second,logit_diff,expected_stronger,is_correct,region_first_tokens,region_second_tokens
Dust,last,5,2.0,4.0,13.1875,15.25,-2.0625,SECOND,True,"(62, 75)","(75, 88)"
Dust,last,5,4.0,2.0,12.875,14.4375,-1.5625,FIRST,False,"(62, 75)","(75, 88)"
Dust,last,5,3.0,7.0,14.25,15.1875,-0.9375,SECOND,True,"(62, 75)","(75, 88)"
Dust,last,5,7.0,3.0,13.75,14.625,-0.875,FIRST,False,"(62, 75)","(75, 88)"
Dust,last,5,4.0,8.0,14.125,14.9375,-0.8125,SECOND,True,"(62, 75)","(75, 88)"
Dust,last,5,8.0,4.0,14.125,15.3125,-1.1875,FIRST,False,"(62, 75)","(75, 88)"
Dust,last,5,5.0,10.0,14.5,15.4375,-0.9375,SECOND,True,"(62, 75)","(75, 88)"
Dust,last,5,10.0,5.0,14.875,16.0,-1.125,FIRST,False,"(62, 75)","(75, 88)"
Dust,last,5,6.0,12.0,14.75,15.9375,-1.1875,SECOND,True,"(62, 75)","(75, 88)"
Dust,last,5,12.0,6.0,14.875,16.125,-1.25,FIRST,False,"(62, 75)","(75, 88)"
Dust,last,5,4.0,16.0,15.0,16.0,-1.0,SECOND,True,"(62, 75)","(75, 88)"
Dust,last,5,16.0,4.0,14.1875,15.375,-1.1875,FIRST,False,"(62, 75)","(75, 88)"
Dust,last,5,2.0,14.0,16.0,16.75,-0.75,SECOND,True,"(62, 75)","(75, 88)"
Dust,last,5,14.0,2.0,14.5,16.0,-1.5,FIRST,False,"(62, 75)","(75, 88)"
Dust,last,5,1.0,9.0,15.5625,16.0,-0.4375,SECOND,True,"(62, 75)","(75, 88)"
Dust,last,5,9.0,1.0,13.8125,15.375,-1.5625,FIRST,False,"(62, 75)","(75, 88)"
Dust,last,5,8.0,16.0,14.875,16.25,-1.375,SECOND,True,"(62, 75)","(75, 88)"
Dust,last,5,16.0,8.0,14.9375,16.25,-1.3125,FIRST,False,"(62, 75)","(75, 88)"
Dust,avg,5,2.0,4.0,12.125,13.5625,-1.4375,SECOND,True,"(62, 75)","(75, 88)"
Dust,avg,5,4.0,2.0,14.0,15.5,-1.5,FIRST,False,"(62, 75)","(75, 88)"
Dust,avg,5,3.0,7.0,14.6875,15.75,-1.0625,SECOND,True,"(62, 75)","(75, 88)"
Dust,avg,5,7.0,3.0,15.75,16.625,-0.875,FIRST,False,"(62, 75)","(75, 88)"
Dust,avg,5,4.0,8.0,16.0,17.625,-1.625,SECOND,True,"(62, 75)","(75, 88)"
Dust,avg,5,8.0,4.0,15.625,16.375,-0.75,FIRST,False,"(62, 75)","(75, 88)"
Dust,avg,5,5.0,10.0,15.8125,17.25,-1.4375,SECOND,True,"(62, 75)","(75, 88)"
Dust,avg,5,10.0,5.0,15.0625,15.75,-0.6875,FIRST,False,"(62, 75)","(75, 88)"
Dust,avg,5,6.0,12.0,16.5,18.375,-1.875,SECOND,True,"(62, 75)","(75, 88)"
Dust,avg,5,12.0,6.0,16.0,16.5,-0.5,FIRST,False,"(62, 75)","(75, 88)"
Dust,avg,5,4.0,16.0,16.625,18.0,-1.375,SECOND,True,"(62, 75)","(75, 88)"
Dust,avg,5,16.0,4.0,16.25,16.375,-0.125,FIRST,False,"(62, 75)","(75, 88)"
Dust,avg,5,2.0,14.0,16.375,17.625,-1.25,SECOND,True,"(62, 75)","(75, 88)"
Dust,avg,5,14.0,2.0,15.875,16.25,-0.375,FIRST,False,"(62, 75)","(75, 88)"
Dust,avg,5,1.0,9.0,16.25,16.75,-0.5,SECOND,True,"(62, 75)","(75, 88)"
Dust,avg,5,9.0,1.0,15.375,16.0,-0.625,FIRST,False,"(62, 75)","(75, 88)"
Dust,avg,5,8.0,16.0,16.75,17.875,-1.125,SECOND,True,"(62, 75)","(75, 88)"
Dust,avg,5,16.0,8.0,17.0,17.25,-0.25,FIRST,False,"(62, 75)","(75, 88)"
Dust,last,8,2.0,4.0,14.5,15.25,-0.75,SECOND,True,"(62, 75)","(75, 88)"
Dust,last,8,4.0,2.0,14.25,15.6875,-1.4375,FIRST,False,"(62, 75)","(75, 88)"
Dust,last,8,3.0,7.0,14.5,14.625,-0.125,SECOND,True,"(62, 75)","(75, 88)"
Dust,last,8,7.0,3.0,13.625,14.875,-1.25,FIRST,False,"(62, 75)","(75, 88)"
Dust,last,8,4.0,8.0,14.25,14.5,-0.25,SECOND,True,"(62, 75)","(75, 88)"
Dust,last,8,8.0,4.0,13.125,14.0,-0.875,FIRST,False,"(62, 75)","(75, 88)"
Dust,last,8,5.0,10.0,14.25,14.8125,-0.5625,SECOND,True,"(62, 75)","(75, 88)"
Dust,last,8,10.0,5.0,12.625,12.875,-0.25,FIRST,False,"(62, 75)","(75, 88)"
Dust,last,8,6.0,12.0,13.875,14.25,-0.375,SECOND,True,"(62, 75)","(75, 88)"
Dust,last,8,12.0,6.0,12.875,12.75,0.125,FIRST,True,"(62, 75)","(75, 88)"
Dust,last,8,4.0,16.0,14.0,13.5625,0.4375,SECOND,False,"(62, 75)","(75, 88)"
Dust,last,8,16.0,4.0,12.4375,12.0625,0.375,FIRST,True,"(62, 75)","(75, 88)"
Dust,last,8,2.0,14.0,14.6875,14.5625,0.125,SECOND,False,"(62, 75)","(75, 88)"
Dust,last,8,14.0,2.0,13.0,13.3125,-0.3125,FIRST,False,"(62, 75)","(75, 88)"
Dust,last,8,1.0,9.0,15.0625,15.125,-0.0625,SECOND,True,"(62, 75)","(75, 88)"
Dust,last,8,9.0,1.0,13.3125,14.75,-1.4375,FIRST,False,"(62, 75)","(75, 88)"
Dust,last,8,8.0,16.0,13.375,12.9375,0.4375,SECOND,False,"(62, 75)","(75, 88)"
Dust,last,8,16.0,8.0,13.625,13.0625,0.5625,FIRST,True,"(62, 75)","(75, 88)"
Dust,avg,8,2.0,4.0,13.6875,15.625,-1.9375,SECOND,True,"(62, 75)","(75, 88)"
Dust,avg,8,4.0,2.0,14.125,16.375,-2.25,FIRST,False,"(62, 75)","(75, 88)"
Dust,avg,8,3.0,7.0,14.5625,17.0,-2.4375,SECOND,True,"(62, 75)","(75, 88)"
Dust,avg,8,7.0,3.0,15.0,17.625,-2.625,FIRST,False,"(62, 75)","(75, 88)"
Dust,avg,8,4.0,8.0,15.25,17.625,-2.375,SECOND,True,"(62, 75)","(75, 88)"
Dust,avg,8,8.0,4.0,15.3125,18.125,-2.8125,FIRST,False,"(62, 75)","(75, 88)"
Dust,avg,8,5.0,10.0,16.5,18.5,-2.0,SECOND,True,"(62, 75)","(75, 88)"
Dust,avg,8,10.0,5.0,15.875,18.625,-2.75,FIRST,False,"(62, 75)","(75, 88)"
Dust,avg,8,6.0,12.0,17.375,18.875,-1.5,SECOND,True,"(62, 75)","(75, 88)"
Dust,avg,8,12.0,6.0,16.75,19.0,-2.25,FIRST,False,"(62, 75)","(75, 88)"
Dust,avg,8,4.0,16.0,17.875,18.875,-1.0,SECOND,True,"(62, 75)","(75, 88)"
Dust,avg,8,16.0,4.0,17.875,19.375,-1.5,FIRST,False,"(62, 75)","(75, 88)"
Dust,avg,8,2.0,14.0,17.5,18.625,-1.125,SECOND,True,"(62, 75)","(75, 88)"
Dust,avg,8,14.0,2.0,17.5,19.5,-2.0,FIRST,False,"(62, 75)","(75, 88)"
Dust,avg,8,1.0,9.0,15.25,16.875,-1.625,SECOND,True,"(62, 75)","(75, 88)"
Dust,avg,8,9.0,1.0,15.625,18.125,-2.5,FIRST,False,"(62, 75)","(75, 88)"
Dust,avg,8,8.0,16.0,17.5,18.0,-0.5,SECOND,True,"(62, 75)","(75, 88)"
Dust,avg,8,16.0,8.0,17.625,19.0,-1.375,FIRST,False,"(62, 75)","(75, 88)"
Dust,last,11,2.0,4.0,14.3125,15.6875,-1.375,SECOND,True,"(62, 75)","(75, 88)"
Dust,last,11,4.0,2.0,14.25,15.9375,-1.6875,FIRST,False,"(62, 75)","(75, 88)"
Dust,last,11,3.0,7.0,14.9375,16.25,-1.3125,SECOND,True,"(62, 75)","(75, 88)"
Dust,last,11,7.0,3.0,14.75,16.375,-1.625,FIRST,False,"(62, 75)","(75, 88)"
Dust,last,11,4.0,8.0,15.3125,16.625,-1.3125,SECOND,True,"(62, 75)","(75, 88)"
Dust,last,11,8.0,4.0,15.0,16.625,-1.625,FIRST,False,"(62, 75)","(75, 88)"
Dust,last,11,5.0,10.0,15.6875,16.75,-1.0625,SECOND,True,"(62, 75)","(75, 88)"
Dust,last,11,10.0,5.0,15.4375,17.0,-1.5625,FIRST,False,"(62, 75)","(75, 88)"
Dust,last,11,6.0,12.0,16.25,17.0,-0.75,SECOND,True,"(62, 75)","(75, 88)"
Dust,last,11,12.0,6.0,16.0,17.375,-1.375,FIRST,False,"(62, 75)","(75, 88)"
Dust,last,11,4.0,16.0,16.75,16.875,-0.125,SECOND,True,"(62, 75)","(75, 88)"
Dust,last,11,16.0,4.0,16.625,17.625,-1.0,FIRST,False,"(62, 75)","(75, 88)"
Dust,last,11,2.0,14.0,16.25,16.375,-0.125,SECOND,True,"(62, 75)","(75, 88)"
Dust,last,11,14.0,2.0,15.9375,17.375,-1.4375,FIRST,False,"(62, 75)","(75, 88)"
Dust,last,11,1.0,9.0,15.25,15.9375,-0.6875,SECOND,True,"(62, 75)","(75, 88)"
Dust,last,11,9.0,1.0,14.8125,16.625,-1.8125,FIRST,False,"(62, 75)","(75, 88)"
Dust,last,11,8.0,16.0,17.125,17.5,-0.375,SECOND,True,"(62, 75)","(75, 88)"
Dust,last,11,16.0,8.0,17.25,17.875,-0.625,FIRST,False,"(62, 75)","(75, 88)"
Dust,avg,11,2.0,4.0,13.625,15.5,-1.875,SECOND,True,"(62, 75)","(75, 88)"
Dust,avg,11,4.0,2.0,14.0,15.9375,-1.9375,FIRST,False,"(62, 75)","(75, 88)"
Dust,avg,11,3.0,7.0,14.25,16.125,-1.875,SECOND,True,"(62, 75)","(75, 88)"
Dust,avg,11,7.0,3.0,14.25,16.875,-2.625,FIRST,False,"(62, 75)","(75, 88)"
Dust,avg,11,4.0,8.0,14.625,16.375,-1.75,SECOND,True,"(62, 75)","(75, 88)"
Dust,avg,11,8.0,4.0,14.3125,17.0,-2.6875,FIRST,False,"(62, 75)","(75, 88)"
Dust,avg,11,5.0,10.0,15.125,16.5,-1.375,SECOND,True,"(62, 75)","(75, 88)"
Dust,avg,11,10.0,5.0,14.5625,17.25,-2.6875,FIRST,False,"(62, 75)","(75, 88)"
Dust,avg,11,6.0,12.0,15.3125,16.125,-0.8125,SECOND,True,"(62, 75)","(75, 88)"
Dust,avg,11,12.0,6.0,14.75,17.0,-2.25,FIRST,False,"(62, 75)","(75, 88)"
Dust,avg,11,4.0,16.0,15.0625,14.875,0.1875,SECOND,False,"(62, 75)","(75, 88)"
Dust,avg,11,16.0,4.0,14.1875,15.8125,-1.625,FIRST,False,"(62, 75)","(75, 88)"
